x,y
-332.82901001,202.936004639
-332.854003906,202.878005981
-332.881988525,202.820999146
-332.907012939,202.761001587
-332.934997559,202.697006226
-332.928985596,202.707000732
-332.959014893,202.63999939
-332.990997314,202.574996948
-333.024993896,202.505996704
-333.054992676,202.434997559
-333.088989258,202.365005493
-333.122009277,202.292999268
-333.157012939,202.223999023
-333.191009521,202.152999878
-333.184997559,202.152999878
-333.214996338,202.085006714
-333.244995117,202.018997192
-333.273010254,201.955001831
-333.29901123,201.893997192
-333.322998047,201.824996948
-333.351013184,201.76499939
-333.385009766,201.701004028
-333.411987305,201.634002686
-333.433013916,201.570007324
-333.416992188,201.582000732
-333.447998047,201.516998291
-333.481994629,201.442993164
-333.507995605,201.365997314
-333.540008545,201.289993286
-333.574005127,201.214004517
-333.608001709,201.134002686
-333.641998291,201.052001953
-333.678985596,200.968002319
-333.712005615,200.882995605
-333.70401001,200.873001099
-333.739990234,200.785003662
-333.773986816,200.701004028
-333.811004639,200.617004395
-333.846984863,200.539993286
-333.877990723,200.462005615
-333.908996582,200.384994507
-333.936004639,200.317001343
-333.963989258,200.251998901
-333.988006592,200.18699646
-333.972991943,200.20300293
-333.997009277,200.147003174
-334.023986816,200.091003418
-334.040985107,200.041000366
-334.054992676,199.996002197
-334.07800293,199.95300293
-334.096008301,199.914001465
-334.110992432,199.876998901
-334.12298584,199.837005615
-334.135986328,199.796005249
-334.122009277,199.824996948
-334.139007568,199.774993896
-334.164001465,199.722000122
-334.180999756,199.667007446
-334.20401001,199.608001709
-334.226989746,199.54800415
-334.253997803,199.48500061
-334.273986816,199.421005249
-334.29800415,199.352005005
-334.321014404,199.285003662
-334.346008301,199.218994141
-334.325012207,199.23500061
-334.345001221,199.175003052
-334.360992432,199.111999512
-334.37600708,199.054000854
-334.397003174,199
-334.420013428,198.947006226
-334.441009521,198.897003174
-334.459014893,198.845993042
-334.475006104,198.796005249
-334.45098877,198.815002441
-334.467987061,198.761993408
-334.486999512,198.712005615
-334.502990723,198.660995483
-334.519989014,198.606002808
-334.536010742,198.544998169
-334.57901001,198.414001465
-334.596008301,198.343994141
-334.614013672,198.268997192
-334.614013672,198.253997803
-334.644989014,198.171005249
-334.674987793,198.083999634
-334.70098877,197.990005493
-334.730010986,197.899002075
-334.763000488,197.804992676
-334.79699707,197.714004517
-334.82699585,197.615997314
-334.854003906,197.526000977
-334.889007568,197.430999756
-334.87298584,197.421005249
-334.903015137,197.333999634
-334.934997559,197.248001099
-334.967010498,197.169006348
-334.994995117,197.087997437
-335.019012451,197.009002686
-335.04598999,196.936004639
-335.067993164,196.863998413
-335.089996338,196.792999268
-335.114013672,196.725006104
-335.106994629,196.729003906
-335.130004883,196.662994385
-335.152008057,196.597000122
-335.17300415,196.535003662
-335.20199585,196.470993042
-335.221984863,196.408004761
-335.243011475,196.343002319
-335.265991211,196.281997681
-335.289001465,196.218002319
-335.303985596,196.164993286
-335.289001465,196.177993774
-335.309997559,196.119003296
-335.334991455,196.057006836
-335.355010986,195.998001099
-335.377990723,195.936004639
-335.402008057,195.87399292
-335.428985596,195.809997559
-335.45098877,195.744995117
-335.467987061,195.684005737
-335.481994629,195.623001099
-335.50100708,195.559005737
-335.506011963,195.56300354
-335.533996582,195.496002197
-335.558990479,195.421005249
-335.57800293,195.350997925
-335.605010986,195.281005859
-335.635009766,195.205001831
-335.657989502,195.125
-335.691009521,195.044998169
-335.726013184,194.966003418
-335.727996826,194.947006226
-335.757995605,194.865997314
-335.79699707,194.783004761
-335.832000732,194.699996948
-335.863006592,194.617996216
-335.895996094,194.537994385
-335.929992676,194.45300293
-335.963012695,194.375
-335.992004395,194.29800415
-336.019012451,194.223999023
-336.010009766,194.225006104
-336.041992188,194.154998779
-336.092010498,194.01600647
-336.12298584,193.947998047
-336.149993896,193.882995605
-336.178985596,193.817993164
-336.20199585,193.755004883
-336.226013184,193.694000244
-336.25201416,193.634002686
-336.242004395,193.649993896
-336.265991211,193.593002319
-336.283996582,193.539993286
-336.308013916,193.486999512
-336.333007812,193.432998657
-336.355987549,193.382003784
-336.378997803,193.322006226
-336.398986816,193.268997192
-336.42199707,193.218002319
-336.446990967,193.160995483
-336.427001953,193.180999756
-336.45098877,193.121994019
-336.476989746,193.061004639
-336.50201416,193.00100708
-336.531005859,192.938995361
-336.565002441,192.869995117
-336.589996338,192.804992676
-336.617004395,192.738006592
-336.644989014,192.669998169
-336.67401123,192.600997925
-336.670013428,192.606994629
-336.697998047,192.535003662
-336.726989746,192.464996338
-336.763000488,192.39100647
-336.791992188,192.322998047
-336.82800293,192.25
-336.859008789,192.179992676
-336.886993408,192.106002808
-336.915008545,192.037002563
-336.947998047,191.966995239
-336.933990479,191.970993042
-336.960998535,191.901992798
-336.985992432,191.828994751
-337.022003174,191.761001587
-337.057006836,191.690002441
-337.085998535,191.619003296
-337.111999512,191.555999756
-337.143005371,191.486999512
-337.175994873,191.425003052
-337.20401001,191.35899353
-337.186004639,191.378005981
-337.212005615,191.317993164
-337.240997314,191.257003784
-337.270996094,191.195007324
-337.29699707,191.138000488
-337.320007324,191.07699585
-337.347991943,191.020004272
-337.375,190.962997437
-337.402008057,190.901000977
-337.425994873,190.843994141
-337.402008057,190.871994019
-337.433013916,190.809997559
-337.463012695,190.746994019
-337.490997314,190.68699646
-337.519989014,190.621994019
-337.553009033,190.552001953
-337.580993652,190.485992432
-337.614990234,190.410995483
-337.648986816,190.337997437
-337.680999756,190.263000488
-337.664001465,190.26600647
-337.691986084,190.188995361
-337.731994629,190.10899353
-337.769012451,190.026000977
-337.79699707,189.938995361
-337.82800293,189.854003906
-337.87298584,189.76600647
-337.904998779,189.682006836
-337.937011719,189.591995239
-337.970001221,189.507003784
-337.955993652,189.507003784
-337.985992432,189.427993774
-338.011993408,189.350006104
-338.040008545,189.279998779
-338.067993164,189.210006714
-338.095001221,189.143005371
-338.115997314,189.078994751
-338.140014648,189.016998291
-338.165008545,188.957000732
-338.188995361,188.899002075
-338.157989502,188.923995972
-338.180999756,188.867004395
-338.20098877,188.811004639
-338.220001221,188.755004883
-338.242004395,188.695007324
-338.261993408,188.636001587
-338.283996582,188.57699585
-338.308013916,188.511993408
-338.333007812,188.444000244
-338.355010986,188.378005981
-338.32699585,188.39100647
-338.346984863,188.317993164
-338.37399292,188.246994019
-338.399993896,188.177993774
-338.428009033,188.104003906
-338.457000732,188.031005859
-338.483001709,187.955001831
-338.511993408,187.882995605
-338.541992188,187.807998657
-338.563995361,187.73500061
-338.54699707,187.746002197
-338.572998047,187.677001953
-338.598999023,187.610992432
-338.62298584,187.546005249
-338.644989014,187.48500061
-338.670013428,187.425994873
-338.694000244,187.369003296
-338.718994141,187.317001343
-338.734008789,187.264007568
-338.752990723,187.212005615
-338.730010986,187.244995117
-338.75,187.192001343
-338.769989014,187.143005371
-338.790008545,187.089996338
-338.808990479,187.035003662
-338.834991455,186.975006104
-338.859008789,186.914993286
-338.880004883,186.850997925
-338.906005859,186.781005859
-338.933013916,186.716995239
-338.92401123,186.712997437
-338.945007324,186.647003174
-338.967987061,186.578994751
-339.00100708,186.513000488
-339.031005859,186.449005127
-339.055999756,186.382003784
-339.080993652,186.317993164
-339.106994629,186.253997803
-339.134002686,186.194000244
-339.157989502,186.130996704
-339.178985596,186.074996948
-339.165008545,186.089004517
-339.191009521,186.033004761
-339.214996338,185.977005005
-339.230987549,185.925003052
-339.256988525,185.871994019
-339.277008057,185.817001343
-339.29901123,185.768005371
-339.321990967,185.718002319
-339.342987061,185.67199707
-339.32901001,185.682998657
-339.347991943,185.634002686
-339.369995117,185.587005615
-339.390014648,185.539993286
-339.404998779,185.494003296
-339.428985596,185.442993164
-339.450012207,185.393997192
-339.471984863,185.343994141
-339.496002197,185.287994385
-339.516998291,185.231002808
-339.540985107,185.17199707
-339.532989502,185.179992676
-339.558013916,185.119995117
-339.584014893,185.055999756
-339.609008789,184.988998413
-339.640014648,184.92199707
-339.674987793,184.858001709
-339.704986572,184.787994385
-339.734985352,184.716995239
-339.765014648,184.647994995
-339.760986328,184.636001587
-339.792999268,184.565002441
-339.821990967,184.496002197
-339.848999023,184.429000854
-339.880004883,184.361999512
-339.911010742,184.29699707
-339.941986084,184.231002808
-339.971984863,184.167007446
-340.00201416,184.102005005
-340.031005859,184.039001465
-340.023010254,184.041000366
-340.04800415,183.981002808
-340.07901001,183.92199707
