x,y,s,kappa,dkappa,theta
-319.245486311,205.376081176,1.5502034331,-0.021663954,0.0008571975,2.7873260249
-319.264125052,205.382979671,1.5700778361,-0.0216459055,0.000959362,2.7868956427
-319.282760824,205.389886183,1.5899522391,-0.0216258088,0.0010632945,2.7864656396
-319.301393625,205.396800703,1.6098266421,-0.0216036293,0.0011689656,2.7860360564
-319.320023456,205.403723224,1.6297010451,-0.0215793325,0.001276346,2.7856069351
-319.338650316,205.410653733,1.649575448,-0.0215528849,0.0013854065,2.785178318
-319.357274206,205.417592221,1.669449851,-0.0215242533,0.0014961176,2.7847502481
-319.375895127,205.424538675,1.689324254,-0.0214934053,0.00160845,2.7843227693
-319.394513078,205.431493082,1.709198657,-0.0214603088,0.0017223746,2.7838959258
-319.413128061,205.438455429,1.72907306,-0.0214249326,0.0018378618,2.7834697628
-319.431740078,205.445425703,1.748947463,-0.0213872459,0.0019548825,2.7830443257
-319.450349131,205.452403886,1.768821866,-0.0213472184,0.0020734073,2.7826196608
-319.468955221,205.459389964,1.788696269,-0.0213048206,0.0021934069,2.7821958149
-319.487558352,205.46638392,1.808570672,-0.0212600235,0.002314852,2.7817728355
-319.506158526,205.473385735,1.8284450749,-0.0212127986,0.0024377133,2.7813507705
-319.524755746,205.480395392,1.8483194779,-0.0211631181,0.0025619614,2.7809296683
-319.543350017,205.487412869,1.8681938809,-0.0211109547,0.0026875671,2.7805095782
-319.561941341,205.494438148,1.8880682839,-0.0210562817,0.0028145009,2.7800905497
-319.580529724,205.501471206,1.9079426869,-0.0209990731,0.0029427337,2.779672633
-319.599115171,205.508512021,1.9278170899,-0.0209393032,0.0030722361,2.7792558786
-319.617697685,205.51556057,1.9476914929,-0.0208769471,0.0032029788,2.7788403378
-319.636277274,205.522616828,1.9675658959,-0.0208119806,0.0033349324,2.7784260622
-319.654853942,205.52968077,1.9874402988,-0.0207443797,0.0034680677,2.7780131039
-319.673427696,205.536752371,2.0073147018,-0.0206741214,0.0036023554,2.7776015155
-319.691998544,205.543831603,2.0271891048,-0.020601183,0.003737766,2.77719135
-319.710566491,205.550918438,2.0470635078,-0.0205255424,0.0038742704,2.7767826609
-319.729131546,205.558012846,2.0669379108,-0.0204471783,0.0040118392,2.7763755022
-319.747693716,205.565114798,2.0868123138,-0.0203660697,0.004150443,2.7759699282
-319.76625301,205.572224263,2.1066867168,-0.0202821965,0.0042900527,2.7755659936
-319.784809437,205.579341208,2.1265611198,-0.0201955388,0.0044306387,2.7751637536
-319.803363006,205.586465601,2.1464355228,-0.0201060776,0.004572172,2.7747632636
-319.821913726,205.593597407,2.1663099257,-0.0200137943,0.004714623,2.7743645797
-319.840461609,205.600736591,2.1861843287,-0.0199186711,0.0048579626,2.773967758
-319.859006663,205.607883117,2.2060587317,-0.0198206904,0.0050021613,2.7735728552
-319.877548901,205.615036948,2.2259331347,-0.0197198356,0.0051471899,2.7731799283
-319.896088334,205.622198045,2.2458075377,-0.0196160905,0.0052930191,2.7727890344
-319.914624974,205.62936637,2.2656819407,-0.0195094393,0.0054396196,2.7724002313
-319.933158833,205.636541881,2.2855563437,-0.0193998672,0.005586962,2.7720135769
-319.951689924,205.643724537,2.3054307467,-0.0192873595,0.005735017,2.7716291292
-319.970218261,205.650914296,2.3253051496,-0.0191719026,0.0058837553,2.7712469469
-319.988743856,205.658111115,2.3451795526,-0.019053483,0.0060331476,2.7708670886
-320.007266726,205.665314948,2.3650539556,-0.018932088,0.0061831646,2.7704896134
-320.025786883,205.672525749,2.3849283586,-0.0188077056,0.006333777,2.7701145805
-320.044304343,205.679743473,2.4048027616,-0.0186803242,0.0064849554,2.7697420494
-320.062819123,205.686968072,2.4246771646,-0.0185499328,0.0066366705,2.7693720799
-320.081331238,205.694199495,2.4445515676,-0.0184165211,0.0067888931,2.7690047318
-320.099840705,205.701437694,2.4644259706,-0.0182800793,0.0069415938,2.7686400652
-320.118347542,205.708682616,2.4843003736,-0.0181405981,0.0070947433,2.7682781406
-320.136851765,205.715934211,2.5041747765,-0.0179980689,0.0072483122,2.7679190183
-320.155353393,205.723192424,2.5240491795,-0.0178524837,0.0074022714,2.7675627591
-320.173852444,205.7304572,2.5439235825,-0.0177038351,0.0075565914,2.7672094237
-320.192348938,205.737728486,2.5637979855,-0.0175521161,0.0077112429,2.7668590731
-320.210842895,205.745006223,2.5836723885,-0.0173973204,0.0078661966,2.7665117684
-320.229334334,205.752290354,2.6035467915,-0.0172394423,0.0080214233,2.7661675708
-320.247823277,205.75958082,2.6234211945,-0.0170784768,0.0081768935,2.7658265416
-320.266309744,205.766877561,2.6432955975,-0.0169144191,0.008332578,2.7654887422
-320.284793757,205.774180516,2.6631700005,-0.0167472655,0.0084884475,2.7651542342
-320.303275338,205.781489622,2.6830444034,-0.0165770125,0.0086444726,2.764823079
-320.32175451,205.788804818,2.7029188064,-0.0164036572,0.0088006241,2.7644953383
-320.340231297,205.796126037,2.7227932094,-0.0162271975,0.0089568726,2.7641710738
-320.358705721,205.803453215,2.7426676124,-0.0160476318,0.0091131888,2.7638503471
-320.377177808,205.810786284,2.7625420154,-0.0158649589,0.0092695434,2.7635332201
-320.395647582,205.818125177,2.7824164184,-0.0156791784,0.0094259071,2.7632197545
-320.414115068,205.825469825,2.8022908214,-0.0154902905,0.0095822505,2.7629100121
-320.432580291,205.832820158,2.8221652244,-0.0152982957,0.0097385444,2.7626040546
-320.45104328,205.840176105,2.8420396273,-0.0151031955,0.0098947594,2.7623019437
-320.469504059,205.847537594,2.8619140303,-0.0149049916,0.0100508663,2.7620037411
-320.487962657,205.854904551,2.8817884333,-0.0147036865,0.0102068356,2.7617095086
-320.506419102,205.862276901,2.9016628363,-0.0144992832,0.0103626381,2.7614193077
-320.524873421,205.86965457,2.9215372393,-0.0142917853,0.0105182446,2.7611331999
-320.543325644,205.87703748,2.9414116423,-0.014081197,0.0106736255,2.7608512468
-320.5617758,205.884425553,2.9612860453,-0.0138675231,0.0108287518,2.7605735096
-320.580223919,205.891818711,2.9811604483,-0.0136507689,0.0109835939,2.7603000497
-320.598670032,205.899216874,3.0010348513,-0.0134309404,0.0111381227,2.7600309282
-320.61711417,205.90661996,3.0209092542,-0.0132080441,0.0112923088,2.7597662062
-320.635556363,205.914027888,3.0407836572,-0.0129820871,0.0114461229,2.7595059445
-320.653996645,205.921440573,3.0606580602,-0.0127530771,0.0115995357,2.7592502039
-320.672435047,205.928857932,3.0805324632,-0.0125210223,0.0117525178,2.7589990451
-320.690871603,205.936279879,3.1004068662,-0.0122859315,0.01190504,2.7587525284
