x,y
-317.5,204.725006104
-317.588012695,204.755004883
-317.67401123,204.787002563
-317.765991211,204.815994263
-317.859985352,204.845001221
-317.954986572,204.869003296
-318.04901123,204.902999878
-318.144989014,204.932006836
-318.243011475,204.968994141
-318.338989258,205.001998901
-318.433990479,205.031005859
-318.526000977,205.059997559
-318.611999512,205.087997437
-318.696014404,205.119995117
-318.770996094,205.145004272
-318.847991943,205.169006348
-318.92300415,205.195007324
-318.993988037,205.208999634
-319.058013916,205.225006104
-319.114990234,205.244003296
-319.174987793,205.26499939
-319.229003906,205.287994385
-319.278991699,205.309005737
-319.32598877,205.322998047
-319.368988037,205.339004517
-319.414001465,205.356002808
-319.457000732,205.371994019
-319.503997803,205.384994507
-319.54800415,205.397003174
-319.584991455,205.410003662
-319.62399292,205.421005249
-319.656005859,205.434997559
-319.690002441,205.445999146
-319.721984863,205.457000732
-319.756988525,205.470993042
-319.794006348,205.48500061
-319.830993652,205.496002197
-319.868988037,205.505996704
-319.903015137,205.518997192
-319.933990479,205.531005859
-319.970001221,205.544006348
-320.010009766,205.555999756
-320.04800415,205.572006226
-320.084014893,205.585006714
-320.119995117,205.598007202
-320.160003662,205.606994629
-320.20199585,205.625
-320.25,205.639007568
-320.292999268,205.656005859
-320.333007812,205.671005249
-320.382995605,205.68699646
-320.432006836,205.70199585
-320.480010986,205.716003418
-320.531005859,205.73399353
-320.582000732,205.753005981
-320.635986328,205.770004272
-320.690002441,205.789993286
-320.742004395,205.804000854
-320.79800415,205.826004028
-320.855987549,205.843002319
-320.914001465,205.86000061
-320.972991943,205.878997803
-321.035003662,205.897994995
-321.092987061,205.921005249
-321.153991699,205.942993164
-321.216003418,205.962005615
-321.282012939,205.979995728
-321.346984863,206.003005981
-321.406005859,206.029006958
-321.471984863,206.052001953
-321.539001465,206.072006226
-321.606994629,206.091995239
-321.667999268,206.117004395
-321.736999512,206.13999939
-321.799987793,206.160995483
-321.858001709,206.179992676
-321.915985107,206.199996948
-321.972991943,206.222000122
-322.028015137,206.244995117
-322.07901001,206.259002686
-322.134002686,206.274002075
-322.183990479,206.292999268
-322.234008789,206.311004639
-322.285003662,206.328994751
-322.338012695,206.343994141
-322.389007568,206.360992432
-322.45098877,206.382995605
-322.507995605,206.414993286
-322.57598877,206.434005737
-322.643005371,206.455001831
-322.720001221,206.479995728
-322.79800415,206.511001587
-322.881988525,206.542999268
-322.976989746,206.567993164
-323.070007324,206.600006104
-323.169006348,206.630996704
-323.281005859,206.666000366
-323.37399292,206.710998535
-323.475006104,206.744995117
-323.579986572,206.777999878
-323.678985596,206.809997559
-323.778991699,206.845001221
-323.859985352,206.876998901
-323.946990967,206.906997681
-324.019989014,206.934997559
-324.096984863,206.962997437
-324.165008545,206.98500061
-324.239013672,207.005996704
-324.269989014,207.052001953
-324.324005127,207.067993164
-324.377990723,207.089996338
-324.428009033,207.108001709
-324.468994141,207.123001099
-324.503997803,207.128997803
-324.540985107,207.134002686
-324.566009521,207.143997192
-324.589996338,207.151000977
-324.611999512,207.162002563
-324.62600708,207.167007446
-324.618988037,207.18699646
-324.62600708,207.195007324
-324.643005371,207.195999146
-324.652008057,207.201004028
-324.666992188,207.203994751
-324.679992676,207.205993652
-324.697998047,207.216995239
-324.717987061,207.227005005
-324.75,207.229003906
-324.782989502,207.235992432
-324.82699585,207.244003296
-324.860992432,207.259002686
-324.903991699,207.272003174
-324.95199585,207.285003662
-325.006011963,207.292999268
-325.058990479,207.309005737
-325.118988037,207.324005127
-325.177001953,207.337997437
-325.243988037,207.352996826
-325.312988281,207.375
-325.364990234,207.404998779
-325.441009521,207.412002563
-325.513000488,207.432998657
-325.589996338,207.445007324
-325.667999268,207.457992554
-325.739990234,207.473007202
-325.812011719,207.481002808
-325.878997803,207.498001099
-325.95199585,207.49899292
-325.997009277,207.529006958
-326.057006836,207.533996582
-326.115997314,207.542999268
-326.17199707,207.54800415
-326.220001221,207.555999756
-326.281005859,207.550003052
-326.338989258,207.552001953
-326.385009766,207.557006836
-326.438995361,207.561004639
-326.496002197,207.561004639
-326.536987305,207.585998535
-326.592987061,207.587005615
-326.647003174,207.589996338
-326.705993652,207.597000122
-326.765991211,207.600997925
-326.82901001,207.595993042
-326.890991211,207.606002808
-326.960998535,207.604003906
-327.026000977,207.60899353
-327.092987061,207.600006104
-327.156005859,207.617004395
-327.217987061,207.615997314
-327.289001465,207.61000061
-327.356994629,207.602996826
-327.432006836,207.598999023
-327.506011963,207.606994629
-327.57699585,207.600997925
-327.653015137,207.591995239
-327.726013184,207.583999634
