x,y,s,kappa,dkappa,theta
-303.1564326335,228.0156117139,3.5586194361,-0.0119576754,0.0055116449,1.1428632921
-303.1481802363,228.0336985717,3.5784999916,-0.0118475188,0.005570176,1.1426266599
-303.1399235794,228.0517834853,3.5983805471,-0.0117362001,0.0056285407,1.1423922293
-303.131662703,228.069866472,3.6182611026,-0.0116237229,0.0056867309,1.1421600232
-303.1233976482,228.0879475493,3.6381416581,-0.0115100906,0.0057447386,1.1419300648
-303.1151284562,228.1060267348,3.6580222137,-0.011395307,0.0058025557,1.1417023769
-303.1068551687,228.1241040465,3.6779027692,-0.0112793759,0.0058601741,1.1414769823
-303.0985778278,228.1421795026,3.6977833247,-0.0111623013,0.0059175857,1.1412539039
-303.0902964759,228.1602531215,3.7176638802,-0.0110440875,0.0059747824,1.1410331644
-303.082011156,228.1783249216,3.7375444357,-0.0109247388,0.0060317562,1.1408147863
-303.0737219113,228.1963949218,3.7574249912,-0.0108042597,0.0060884989,1.1405987921
-303.0654287855,228.2144631412,3.7773055467,-0.0106826549,0.0061450025,1.1403852044
-303.0571318226,228.2325295988,3.7971861022,-0.0105599292,0.0062012589,1.1401740453
-303.0488310672,228.2505943143,3.8170666577,-0.0104360877,0.00625726,1.1399653372
-303.0405265639,228.2686573072,3.8369472132,-0.0103111354,0.0063129977,1.1397591023
-303.0322183581,228.2867185973,3.8568277687,-0.0101850777,0.006368464,1.1395553624
-303.0239064954,228.3047782049,3.8767083242,-0.01005792,0.0064236507,1.1393541395
-303.0155910217,228.32283615,3.8965888798,-0.0099296681,0.0064785498,1.1391554556
-303.0072719835,228.3408924533,3.9164694353,-0.0098003276,0.0065331532,1.1389593321
-302.9989494274,228.3589471354,3.9363499908,-0.0096699047,0.0065874528,1.1387657908
-302.9906234006,228.3770002173,3.9562305463,-0.0095384053,0.0066414405,1.1385748531
-302.9822939507,228.39505172,3.9761111018,-0.0094058357,0.0066951083,1.1383865403
-302.9739611253,228.4131016648,3.9959916573,-0.0092722025,0.0067484479,1.1382008737
-302.9656249729,228.4311500733,4.0158722128,-0.0091375122,0.0068014515,1.1380178742
-302.957285542,228.4491969672,4.0357527683,-0.0090017715,0.0068541108,1.137837563
-302.9489428816,228.4672423684,4.0556333238,-0.0088649874,0.0069064179,1.1376599607
-302.9405970411,228.485286299,4.0755138793,-0.008727167,0.0069583645,1.1374850881
-302.93224807,228.5033287813,4.0953944348,-0.0085883176,0.0070099427,1.1373129657
