x,y
-320.165985107,205.753997803
-320.20300293,205.768997192
-320.239990234,205.779998779
-320.272003174,205.794998169
-320.308990479,205.807998657
-320.346008301,205.822006226
-320.382995605,205.832000732
-320.42199707,205.848007202
-320.457000732,205.863006592
-320.494995117,205.875
-320.529998779,205.88999939
-320.562011719,205.904006958
-320.596984863,205.914001465
-320.631988525,205.923995972
-320.666992188,205.93800354
-320.704986572,205.951004028
-320.743011475,205.966003418
-320.778015137,205.979995728
-320.809997559,205.990005493
-320.847991943,206.003005981
-320.888000488,206.018005371
-320.925994873,206.035995483
-320.963012695,206.050003052
-321.006988525,206.06300354
-321.045013428,206.078994751
-321.084014893,206.091995239
-321.12399292,206.10899353
-321.165985107,206.123001099
-321.199005127,206.136993408
-321.236999512,206.149993896
-321.278991699,206.17199707
-321.315002441,206.184997559
-321.354003906,206.192993164
-321.394989014,206.212997437
-321.437988281,206.229995728
-321.484008789,206.242996216
-321.531005859,206.259994507
-321.575012207,206.277999878
-321.62701416,206.29800415
-321.67401123,206.31300354
-321.726989746,206.332992554
-321.782989502,206.348999023
-321.838989258,206.367996216
-321.893005371,206.39100647
-321.95300293,206.414001465
-322.011993408,206.434005737
-322.069000244,206.455993652
-322.130004883,206.479003906
-322.188995361,206.49899292
-322.253997803,206.524002075
-322.320007324,206.539001465
-322.381988525,206.563995361
-322.444000244,206.593994141
-322.5,206.632995605
-322.569000244,206.656997681
-322.638000488,206.682998657
-322.705993652,206.710006714
-322.769989014,206.731002808
-322.835998535,206.753005981
-322.894989014,206.774993896
-322.957000732,206.792999268
-323.014007568,206.820999146
-323.072998047,206.839004517
-323.127990723,206.871994019
-323.178009033,206.891998291
-323.231994629,206.912994385
-323.282012939,206.930999756
-323.334014893,206.944000244
-323.381988525,206.95199585
-323.427001953,206.962005615
-323.467010498,206.979003906
-323.511993408,206.988998413
-323.54901123,207.003005981
-323.574005127,207.044006348
-323.609008789,207.052993774
-323.636993408,207.06199646
-323.669006348,207.072006226
-323.70098877,207.083999634
-323.730987549,207.091995239
-323.760009766,207.102005005
-323.789001465,207.108001709
-323.813995361,207.117004395
-323.841003418,207.12600708
-323.867004395,207.138000488
-323.890991211,207.145996094
-323.915008545,207.149993896
-323.940002441,207.160995483
-323.972991943,207.167999268
-324.00201416,207.180999756
-324.032012939,207.197998047
-324.071014404,207.20300293
-324.106994629,207.212005615
-324.144989014,207.218994141
-324.177001953,207.240997314
-324.222991943,207.246994019
-324.270996094,207.257995605
-324.316009521,207.272003174
-324.364990234,207.292999268
-324.410003662,207.317993164
-324.463012695,207.328994751
-324.510986328,207.341003418
-324.565002441,207.350006104
-324.621002197,207.369003296
-324.679992676,207.375
-324.736999512,207.384994507
-324.791992188,207.393005371
-324.851013184,207.412994385
-324.907989502,207.423995972
-324.963989258,207.432998657
-325.026000977,207.445007324
-325.084014893,207.455993652
-325.148010254,207.473007202
-325.204986572,207.479995728
-325.269989014,207.488006592
-325.330993652,207.498001099
-325.393005371,207.511993408
-325.458007812,207.518005371
-325.523986816,207.533004761
-325.584014893,207.537994385
-325.643005371,207.548995972
-325.699005127,207.559997559
-325.757995605,207.563995361
-325.815002441,207.570999146
-325.87399292,207.574996948
-325.927001953,207.582000732
-325.980987549,207.585006714
-326.033996582,207.589996338
-326.082000732,207.593002319
-326.132995605,207.597000122
-326.178985596,207.600997925
-326.223999023,207.606002808
-326.269012451,207.60899353
-326.312011719,207.608001709
-326.352996826,207.606994629
-326.395996094,207.610992432
-326.433013916,207.617996216
-326.471008301,207.621002197
-326.506011963,207.62399292
-326.541992188,207.623001099
-326.574005127,207.621002197
-326.609985352,207.621994019
-326.644989014,207.62399292
-326.677001953,207.626998901
-326.70300293,207.62600708
-326.734985352,207.621994019
-326.766998291,207.619995117
-326.800994873,207.62399292
-326.830993652,207.621002197
-326.864990234,207.621002197
-326.899993896,207.619995117
-326.928009033,207.621002197
-326.958007812,207.62399292
-326.993988037,207.623001099
-327.031005859,207.619003296
-327.063995361,207.615005493
-327.093994141,207.611999512
