x,y
-302.3773082149,229.6916767454
-302.3688906057,229.7096582799
-302.3604740262,229.7276402964
-302.3520585539,229.7456228311
-302.3436442671,229.7636059204
-302.3352312446,229.7815896014
-302.326819566,229.799573911
-302.3184093117,229.8175588866
-302.3100005627,229.8355445661
-302.3015934007,229.8535309875
-302.2931879081,229.8715181892
-302.2847841681,229.8895062096
-302.2763822645,229.907495088
-302.2679822819,229.9254848634
-302.2595843056,229.9434755755
-302.2511884216,229.961467264
-302.2427947165,229.9794599693
-302.2344032779,229.9974537317
-302.2260141939,230.015448592
-302.2176275534,230.0334445912
-302.2092434461,230.0514417707
-302.2008619623,230.0694401722
-302.1924831931,230.0874398376
-302.1841072303,230.1054408091
-302.1757341666,230.1234431293
-302.1673640952,230.1414468409
-302.1589971102,230.159451987
-302.1506333064,230.1774586112
-302.1422727793,230.1954667569
-302.1339156252,230.2134764682
-302.125561941,230.2314877893
-302.1172118247,230.2495007647
-302.1088653746,230.2675154392
-302.1005226901,230.2855318579
-302.0921838711,230.303550066
-302.0838490185,230.3215701092
-302.0755182338,230.3395920334
-302.0671916191,230.3576158847
-302.0588692776,230.3756417094
-302.050551313,230.3936695543
-302.0422378299,230.4116994662
-302.0339289334,230.4297314923
-302.0256247297,230.44776568
-302.0173253255,230.465802077
-302.0090308285,230.4838407311
-302.0007413468,230.5018816906
-301.9924569895,230.5199250037
-301.9841778665,230.5379707192
-301.9759040883,230.5560188858
-301.9676357662,230.5740695527
-301.9593730123,230.5921227691
-301.9511159395,230.6101785846
-301.9428646613,230.6282370489
-301.934619292,230.6462982119
-301.9263799468,230.6643621238
-301.9181467415,230.682428835
-301.9099197926,230.7004983961
-301.9016992176,230.7185708577
-301.8934851346,230.7366462709
-301.8852776623,230.7547246869
-301.8770769204,230.7728061568
-301.8688830292,230.7908907323
-301.8606961098,230.808978465
-301.8525162841,230.8270694067
-301.8443436747,230.8451636096
-301.8361784048,230.8632611257
-301.8280205985,230.8813620074
-301.8198703807,230.8994663072
-301.8117278769,230.9175740777
-301.8035932134,230.9356853718
-301.7954665172,230.9538002422
-301.787347916,230.971918742
-301.7792375384,230.9900409244
-301.7711355137,231.0081668428
-301.7630419716,231.0262965504
-301.754957043,231.0444301007
-301.7468808591,231.0625675475
-301.7388135522,231.0807089443
-301.7307552551,231.098854345
-301.7227061014,231.1170038035
-301.7146662253,231.1351573737
-301.7066357618,231.1533151096
-301.6986148466,231.1714770654
-301.6906036162,231.1896432952
-301.6826022076,231.2078138532
-301.6746107586,231.2259887937
-301.6666294079,231.244168171
-301.6586582946,231.2623520394
-301.6506975586,231.2805404532
-301.6427473405,231.298733467
-301.6348077816,231.316931135
-301.6268790238,231.3351335116
-301.6189612099,231.3533406514
-301.6110544831,231.3715526087
-301.6031589875,231.3897694378
-301.5952748676,231.4079911932
-301.587402269,231.4262179291
-301.5795413374,231.4444497
-301.5716922197,231.4626865601
-301.5638550631,231.4809285635
-301.5560300156,231.4991757645
-301.5482172257,231.5174282172
-301.5404168428,231.5356859755
-301.5326290167,231.5539490934
-301.524853898,231.5722176248
-301.5170916377,231.5904916235
-301.5093423878,231.6087711431
-301.5016063004,231.6270562371
-301.4938835287,231.645346959
-301.4861742263,231.6636433621
-301.4784785474,231.6819454995
-301.4707966468,231.7002534244
-301.4631286799,231.7185671895
-301.4554748028,231.7368868475
-301.4478351719,231.7552124512
-301.4402099445,231.7735440527
-301.4325992783,231.7918817043
-301.4250033316,231.810225458
-301.4174222633,231.8285753656
-301.4098562327,231.8469314787
-301.4023053999,231.8652938486
-301.3947699253,231.8836625264
-301.38724997,231.9020375632
-301.3797456956,231.9204190095
-301.3722572641,231.9388069158
